 Energy [eV],Number of Rays weighted by $\Vert\mathbf{E_{\sigma}}+\mathbf{E_{\pi}}\Vert^2$
6.516569364469122374e+05,3.523085660569567901e-02
6.518569348504235968e+05,3.523085660569567901e-02
6.518569348504235968e+05,7.478169063706371911e-02
6.520569332539349562e+05,7.478169063706371911e-02
6.520569332539349562e+05,2.097036511367501022e-01
6.522569316574463155e+05,2.097036511367501022e-01
6.522569316574463155e+05,2.961884528589685539e-01
6.524569300609576749e+05,2.961884528589685539e-01
6.524569300609576749e+05,6.197755282875226923e-01
6.526569284644690342e+05,6.197755282875226923e-01
6.526569284644691506e+05,1.464205232751650376e+00
6.528569268679805100e+05,1.464205232751650376e+00
6.528569268679805100e+05,2.034282048562454648e+00
6.530569252714918694e+05,2.034282048562454648e+00
6.530569252714918694e+05,3.856041637493549779e+00
6.532569236750032287e+05,3.856041637493549779e+00
6.532569236750032287e+05,5.887502418921123137e+00
6.534569220785145881e+05,5.887502418921123137e+00
6.534569220785145881e+05,8.896730522245119843e+00
6.536569204820259474e+05,8.896730522245119843e+00
6.536569204820259474e+05,1.871127070626782896e+01
6.538569188855373068e+05,1.871127070626782896e+01
6.538569188855373068e+05,2.032513131614136626e+01
6.540569172890486661e+05,2.032513131614136626e+01
6.540569172890486661e+05,3.583151959665973862e+01
6.542569156925600255e+05,3.583151959665973862e+01
6.542569156925601419e+05,4.320170981812122335e+01
6.544569140960715013e+05,4.320170981812122335e+01
6.544569140960715013e+05,5.468702996263810689e+01
6.546569124995828606e+05,5.468702996263810689e+01
6.546569124995828606e+05,7.216150793235385663e+01
6.548569109030942200e+05,7.216150793235385663e+01
6.548569109030942200e+05,9.672906697724849323e+01
6.550569093066055793e+05,9.672906697724849323e+01
6.550569093066055793e+05,1.347105908119063713e+02
6.552569077101169387e+05,1.347105908119063713e+02
6.552569077101169387e+05,1.729163015671940968e+02
6.554569061136282980e+05,1.729163015671940968e+02
6.554569061136282980e+05,1.853624197819483470e+02
6.556569045171396574e+05,1.853624197819483470e+02
6.556569045171396574e+05,2.450273178137325090e+02
6.558569029206510168e+05,2.450273178137325090e+02
6.558569029206511332e+05,3.106687675660650143e+02
6.560569013241624925e+05,3.106687675660650143e+02
6.560569013241624925e+05,3.196875000945592546e+02
6.562568997276738519e+05,3.196875000945592546e+02
6.562568997276738519e+05,3.987611182937461081e+02
6.564568981311852112e+05,3.987611182937461081e+02
6.564568981311852112e+05,4.655252356253290600e+02
6.566568965346965706e+05,4.655252356253290600e+02
6.566568965346965706e+05,5.426294047510687051e+02
6.568568949382079300e+05,5.426294047510687051e+02
6.568568949382079300e+05,6.750157148630173651e+02
6.570568933417192893e+05,6.750157148630173651e+02
6.570568933417192893e+05,7.302263002496932813e+02
6.572568917452306487e+05,7.302263002496932813e+02
6.572568917452306487e+05,8.209372486911720443e+02
6.574568901487420080e+05,8.209372486911720443e+02
6.574568901487420080e+05,8.895096528074599291e+02
6.576568885522533674e+05,8.895096528074599291e+02
6.576568885522534838e+05,1.001588809133937502e+03
6.578568869557648432e+05,1.001588809133937502e+03
6.578568869557648432e+05,1.215009885853434980e+03
6.580568853592762025e+05,1.215009885853434980e+03
6.580568853592762025e+05,1.336842244514674121e+03
6.582568837627875619e+05,1.336842244514674121e+03
6.582568837627875619e+05,1.484456905474533187e+03
6.584568821662989212e+05,1.484456905474533187e+03
6.584568821662989212e+05,1.628091496432339909e+03
6.586568805698102806e+05,1.628091496432339909e+03
6.586568805698102806e+05,1.742050742746655942e+03
6.588568789733216399e+05,1.742050742746655942e+03
6.588568789733216399e+05,1.907215507780968665e+03
6.590568773768329993e+05,1.907215507780968665e+03
6.590568773768329993e+05,2.043633737002113548e+03
6.592568757803443586e+05,2.043633737002113548e+03
6.592568757803444751e+05,2.210537243041768306e+03
6.594568741838558344e+05,2.210537243041768306e+03
6.594568741838558344e+05,2.257617387109385163e+03
6.596568725873671938e+05,2.257617387109385163e+03
6.596568725873671938e+05,2.424331105311393458e+03
6.598568709908785531e+05,2.424331105311393458e+03
6.598568709908785531e+05,2.612400735920616171e+03
6.600568693943899125e+05,2.612400735920616171e+03
6.600568693943899125e+05,2.729108727631893998e+03
