 Energy [eV],Number of Rays weighted by $\Vert\mathbf{E_{\sigma}}+\mathbf{E_{\pi}}\Vert^2$
1.030499971067963197e+05,1.968150474052229537e+00
1.031099970902616333e+05,1.968150474052229537e+00
1.031099970902616333e+05,5.147488016202504291e+00
1.031699970737269468e+05,5.147488016202504291e+00
1.031699970737269323e+05,1.448740815447078667e+01
1.032299970571922458e+05,1.448740815447078667e+01
1.032299970571922458e+05,2.002899208893269289e+01
1.032899970406575594e+05,2.002899208893269289e+01
1.032899970406575594e+05,3.761998448968286368e+01
1.033499970241228730e+05,3.761998448968286368e+01
1.033499970241228730e+05,4.743451285437425469e+01
1.034099970075881865e+05,4.743451285437425469e+01
1.034099970075881865e+05,8.287534113898838939e+01
1.034699969910535001e+05,8.287534113898838939e+01
1.034699969910534855e+05,1.177105339682629506e+02
1.035299969745187991e+05,1.177105339682629506e+02
1.035299969745187991e+05,1.514952704348137047e+02
1.035899969579841127e+05,1.514952704348137047e+02
1.035899969579841127e+05,2.195709071358118365e+02
1.036499969414494262e+05,2.195709071358118365e+02
1.036499969414494117e+05,2.475802408491881579e+02
1.037099969249147252e+05,2.475802408491881579e+02
1.037099969249147252e+05,2.815602982081918526e+02
1.037699969083800388e+05,2.815602982081918526e+02
1.037699969083800388e+05,3.718203436633726255e+02
1.038299968918453524e+05,3.718203436633726255e+02
1.038299968918453524e+05,4.342089185568268022e+02
1.038899968753106659e+05,4.342089185568268022e+02
1.038899968753106659e+05,5.476025030222324403e+02
1.039499968587759795e+05,5.476025030222324403e+02
1.039499968587759649e+05,6.085272187545455154e+02
1.040099968422412785e+05,6.085272187545455154e+02
1.040099968422412785e+05,7.837984701196953665e+02
1.040699968257065921e+05,7.837984701196953665e+02
1.040699968257065921e+05,8.885425328285799651e+02
1.041299968091719056e+05,8.885425328285799651e+02
1.041299968091718911e+05,1.064347548961743314e+03
1.041899967926372046e+05,1.064347548961743314e+03
1.041899967926372046e+05,1.264863782687975345e+03
1.042499967761025182e+05,1.264863782687975345e+03
1.042499967761025182e+05,1.462122171938345218e+03
1.043099967595678318e+05,1.462122171938345218e+03
1.043099967595678318e+05,1.645925351876739342e+03
1.043699967430331453e+05,1.645925351876739342e+03
1.043699967430331453e+05,1.932851491351826326e+03
1.044299967264984589e+05,1.932851491351826326e+03
1.044299967264984443e+05,2.114860650907187392e+03
1.044899967099637579e+05,2.114860650907187392e+03
1.044899967099637579e+05,2.401765838492788589e+03
1.045499966934290715e+05,2.401765838492788589e+03
1.045499966934290715e+05,2.774506861200895855e+03
1.046099966768943850e+05,2.774506861200895855e+03
1.046099966768943705e+05,3.007068867128086367e+03
1.046699966603596840e+05,3.007068867128086367e+03
1.046699966603596840e+05,3.383350995746135595e+03
1.047299966438249976e+05,3.383350995746135595e+03
1.047299966438249976e+05,3.755435511093512105e+03
1.047899966272903112e+05,3.755435511093512105e+03
1.047899966272903112e+05,4.100783896486880622e+03
1.048499966107556247e+05,4.100783896486880622e+03
1.048499966107556247e+05,4.520047500502756520e+03
1.049099965942209383e+05,4.520047500502756520e+03
1.049099965942209237e+05,4.938102532902529674e+03
1.049699965776862373e+05,4.938102532902529674e+03
1.049699965776862373e+05,5.393788769052050156e+03
1.050299965611515508e+05,5.393788769052050156e+03
1.050299965611515508e+05,6.023310574233768421e+03
1.050899965446168644e+05,6.023310574233768421e+03
1.050899965446168499e+05,6.517532499858531992e+03
1.051499965280821634e+05,6.517532499858531992e+03
1.051499965280821634e+05,7.044846163204086224e+03
1.052099965115474770e+05,7.044846163204086224e+03
1.052099965115474770e+05,7.723904398889188997e+03
1.052699964950127905e+05,7.723904398889188997e+03
1.052699964950127905e+05,8.293699401212348675e+03
1.053299964784781041e+05,8.293699401212348675e+03
1.053299964784781041e+05,8.723840257529365772e+03
1.053899964619434177e+05,8.723840257529365772e+03
1.053899964619434031e+05,9.273592036622909291e+03
1.054499964454087167e+05,9.273592036622909291e+03
1.054499964454087167e+05,9.917517701539833070e+03
1.055099964288740302e+05,9.917517701539833070e+03
1.055099964288740302e+05,1.001144242492715239e+04
1.055699964123393438e+05,1.001144242492715239e+04
1.055699964123393293e+05,1.057894373967527281e+04
1.056299963958046428e+05,1.057894373967527281e+04
1.056299963958046428e+05,1.082809029166480650e+04
1.056899963792699564e+05,1.082809029166480650e+04
1.056899963792699564e+05,1.133359906843785393e+04
1.057499963627352699e+05,1.133359906843785393e+04
1.057499963627352699e+05,1.139455247197967947e+04
1.058099963462005835e+05,1.139455247197967947e+04
1.058099963462005835e+05,1.157908841936319914e+04
1.058699963296658971e+05,1.157908841936319914e+04
1.058699963296658825e+05,1.174119436527383914e+04
1.059299963131311961e+05,1.174119436527383914e+04
1.059299963131311961e+05,1.176570115229033036e+04
1.059899962965965096e+05,1.176570115229033036e+04
1.059899962965965096e+05,1.186779477107610001e+04
1.060499962800618232e+05,1.186779477107610001e+04
1.060499962800618086e+05,1.182622064601586135e+04
1.061099962635271222e+05,1.182622064601586135e+04
1.061099962635271222e+05,1.170636482702614740e+04
1.061699962469924358e+05,1.170636482702614740e+04
1.061699962469924358e+05,1.149425593453061083e+04
1.062299962304577493e+05,1.149425593453061083e+04
1.062299962304577493e+05,1.129759396674806339e+04
1.062899962139230629e+05,1.129759396674806339e+04
1.062899962139230629e+05,1.099257713147686809e+04
1.063499961973883765e+05,1.099257713147686809e+04
1.063499961973883619e+05,1.071616031180281607e+04
1.064099961808536755e+05,1.071616031180281607e+04
1.064099961808536755e+05,1.033716520811068222e+04
1.064699961643189890e+05,1.033716520811068222e+04
1.064699961643189890e+05,1.001332735513988155e+04
1.065299961477843026e+05,1.001332735513988155e+04
1.065299961477842880e+05,9.505548590917149340e+03
1.065899961312496016e+05,9.505548590917149340e+03
1.065899961312496016e+05,9.069817042733107883e+03
1.066499961147149152e+05,9.069817042733107883e+03
1.066499961147149152e+05,8.671706042168048953e+03
1.067099960981802287e+05,8.671706042168048953e+03
1.067099960981802287e+05,8.344968507755158498e+03
1.067699960816455423e+05,8.344968507755158498e+03
1.067699960816455423e+05,7.715841750973560011e+03
1.068299960651108559e+05,7.715841750973560011e+03
1.068299960651108413e+05,7.143169102967318395e+03
1.068899960485761549e+05,7.143169102967318395e+03
1.068899960485761549e+05,6.546270870732951153e+03
1.069499960320414684e+05,6.546270870732951153e+03
1.069499960320414684e+05,6.128394678452502376e+03
1.070099960155067820e+05,6.128394678452502376e+03
1.070099960155067674e+05,5.616759744004702952e+03
1.070699959989720810e+05,5.616759744004702952e+03
1.070699959989720810e+05,5.031942491585913558e+03
1.071299959824373946e+05,5.031942491585913558e+03
1.071299959824373946e+05,4.546102257279440892e+03
1.071899959659027081e+05,4.546102257279440892e+03
1.071899959659027081e+05,4.088165138461424704e+03
1.072499959493680217e+05,4.088165138461424704e+03
1.072499959493680217e+05,3.644319128787155478e+03
1.073099959328333352e+05,3.644319128787155478e+03
1.073099959328333207e+05,3.012107393997047438e+03
1.073699959162986343e+05,3.012107393997047438e+03
1.073699959162986343e+05,2.570250366957895949e+03
1.074299958997639478e+05,2.570250366957895949e+03
1.074299958997639478e+05,2.347784399924047648e+03
1.074899958832292614e+05,2.347784399924047648e+03
1.074899958832292468e+05,1.931658644662830966e+03
1.075499958666945604e+05,1.931658644662830966e+03
1.075499958666945604e+05,1.508447059535113340e+03
1.076099958501598740e+05,1.508447059535113340e+03
1.076099958501598740e+05,1.274105207842650088e+03
1.076699958336251875e+05,1.274105207842650088e+03
1.076699958336251875e+05,9.709502792311149051e+02
1.077299958170905011e+05,9.709502792311149051e+02
1.077299958170905011e+05,7.254656684466127672e+02
1.077899958005558146e+05,7.254656684466127672e+02
1.077899958005558001e+05,4.891019591380461407e+02
1.078499957840211136e+05,4.891019591380461407e+02
1.078499957840211136e+05,3.190371912000146608e+02
1.079099957674864272e+05,3.190371912000146608e+02
1.079099957674864272e+05,2.003925301677334687e+02
1.079699957509517408e+05,2.003925301677334687e+02
1.079699957509517262e+05,1.060916858939667122e+02
1.080299957344170398e+05,1.060916858939667122e+02
1.080299957344170398e+05,5.521580532750935078e+01
1.080899957178823533e+05,5.521580532750935078e+01
1.080899957178823533e+05,2.263072487233358032e+01
1.081499957013476669e+05,2.263072487233358032e+01
1.081499957013476669e+05,7.550930565016212626e+00
1.082099956848129805e+05,7.550930565016212626e+00
1.082099956848129805e+05,3.027448661632364590e+00
1.082699956682782940e+05,3.027448661632364590e+00
1.082699956682782795e+05,9.266714941715572529e-01
1.083299956517435930e+05,9.266714941715572529e-01
1.083299956517435930e+05,2.704669015905220020e-01
1.083899956352089066e+05,2.704669015905220020e-01
1.083899956352089066e+05,7.199747477297160914e-02
1.084499956186742202e+05,7.199747477297160914e-02
1.084499956186742056e+05,1.620250996114130926e-02
1.085099956021395192e+05,1.620250996114130926e-02
1.085099956021395192e+05,4.652416438978747813e-03
1.085699955856048327e+05,4.652416438978747813e-03
1.085699955856048327e+05,1.008754682385088483e-03
1.086299955690701463e+05,1.008754682385088483e-03
1.086299955690701463e+05,2.711799294277415025e-04
1.086899955525354599e+05,2.711799294277415025e-04
1.086899955525354599e+05,1.296000129648488186e-04
1.087499955360007734e+05,1.296000129648488186e-04
1.087499955360007589e+05,1.060427286615882330e-04
1.088099955194660724e+05,1.060427286615882330e-04
1.088099955194660724e+05,1.027345577573632405e-04
1.088699955029313860e+05,1.027345577573632405e-04
1.088699955029313860e+05,1.028273245110265674e-04
1.089299954863966996e+05,1.028273245110265674e-04
1.089299954863966850e+05,1.009480175879990332e-04
1.089899954698619986e+05,1.009480175879990332e-04
1.089899954698619986e+05,1.019851547549989972e-04
1.090499954533273121e+05,1.019851547549989972e-04
